,id_org,id_match,MATCH,phone_scaled,last_name_scaled,first_name_scaled,city_scaled,state_scaled,address_1_scaled,address_1_2_scaled,dob_scaled,zip_scaled,similarity
0,rec-9215-org,rec-2905-dup-2,0,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.7,0.9,0.0,0.7,0.7,0.19206995473791405
5650,rec-5770-org,rec-2905-dup-2,0,0.30000000000000004,0.0,0.4,0.0,0.7,0.0,1.0,0.7,0.6,0.10108195444693321
7319,rec-3600-org,rec-2905-dup-2,0,0.0,0.5,0.4,0.0,0.7,0.9,0.0,0.19999999999999996,0.7,0.19377601945827544
8213,rec-2084-org,rec-2905-dup-2,0,0.4,0.30000000000000004,0.5,0.0,1.0,0.30000000000000004,0.0,0.6,0.7,0.10122451191387202
10755,rec-1430-org,rec-2905-dup-2,0,0.09999999999999998,0.4,0.5,0.4,0.7,0.9,0.0,0.5,0.7,0.21292097701638124
11797,rec-1485-org,rec-2905-dup-2,0,0.09999999999999998,0.19999999999999996,0.09999999999999998,0.0,0.7,0.30000000000000004,0.0,0.5,0.6,0.11426999696773472
12341,rec-2905-org,rec-2905-dup-2,1,1.0,0.8,0.8,1.0,1.0,0.9,0.0,1.0,1.0,0.7533059313729623
12870,rec-3136-org,rec-2905-dup-2,0,0.0,0.6,0.6,0.0,0.7,0.0,0.0,0.6,0.6,0.10907215384514236
18599,rec-7481-org,rec-2905-dup-2,0,0.09999999999999998,0.4,0.5,0.0,0.7,0.9,0.0,0.5,0.7,0.1962888084428278
22168,rec-7046-org,rec-2905-dup-2,0,0.0,0.5,0.4,0.0,0.7,0.0,0.0,0.5,0.6,0.10122250340488537
1,rec-9215-org,rec-2905-dup-0,0,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.7,0.9,0.0,0.6,0.6,0.18721419664770936
7320,rec-3600-org,rec-2905-dup-0,0,0.0,0.5,0.4,0.0,0.7,0.9,0.0,0.19999999999999996,0.6,0.18887713001220818
10756,rec-1430-org,rec-2905-dup-0,0,0.09999999999999998,0.5,0.5,0.4,0.7,0.9,0.0,0.5,0.6,0.20753808015397313
11798,rec-1485-org,rec-2905-dup-0,0,0.09999999999999998,0.30000000000000004,0.09999999999999998,0.0,0.7,0.19999999999999996,0.0,0.5,0.5,0.1113811148258043
12342,rec-2905-org,rec-2905-dup-0,1,1.0,0.9,0.8,1.0,0.8,0.9,0.0,0.9,0.9,0.6714988856518153
12871,rec-3136-org,rec-2905-dup-0,0,0.0,0.6,0.6,0.0,0.7,0.0,0.0,0.6,0.5,0.10631467939177304
18600,rec-7481-org,rec-2905-dup-0,0,0.09999999999999998,0.5,0.5,0.0,0.7,0.9,0.0,0.5,0.6,0.19132639268699822
2,rec-9215-org,rec-2905-dup-1,0,0.19999999999999996,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.7,0.7,0.0,0.7,0.7,0.12452708744123214
7321,rec-3600-org,rec-2905-dup-1,0,0.0,0.5,0.4,0.0,0.7,0.7,0.0,0.19999999999999996,0.7,0.1256332014656913
10757,rec-1430-org,rec-2905-dup-1,0,0.09999999999999998,0.5,0.5,0.4,0.7,0.7,0.0,0.5,0.7,0.1380456884012459
12343,rec-2905-org,rec-2905-dup-1,1,1.0,0.9,0.8,1.0,1.0,0.7,0.0,1.0,1.0,0.6388922842586893
12872,rec-3136-org,rec-2905-dup-1,0,0.0,0.6,0.6,0.0,0.7,0.0,0.0,0.6,0.6,0.1034029657001709
18601,rec-7481-org,rec-2905-dup-1,0,0.09999999999999998,0.5,0.5,0.0,0.7,0.7,0.0,0.5,0.7,0.12726234900221098
3,rec-4534-org,rec-1953-dup-0,0,0.0,0.4,0.6,1.0,1.0,0.0,0.0,0.5,0.7,0.1619375309167158
3911,rec-1953-org,rec-1953-dup-0,1,1.0,1.0,0.8,1.0,1.0,1.0,0.0,0.8,1.0,0.900404142287827
6703,rec-180-org,rec-1953-dup-0,0,0.0,0.6,0.4,0.0,0.7,1.0,0.0,0.5,0.8,0.13237129546697082
15042,rec-473-org,rec-1953-dup-0,0,0.09999999999999998,0.0,0.5,0.0,0.7,1.0,0.0,0.19999999999999996,0.6,0.1563163058088091
15388,rec-6464-org,rec-1953-dup-0,0,0.0,0.6,0.4,0.0,1.0,1.0,0.0,0.5,0.6,0.1414201053323093
17593,rec-3856-org,rec-1953-dup-0,0,0.0,0.19999999999999996,0.6,0.19999999999999996,0.7,1.0,0.0,0.5,0.7,0.17127528346969045
25907,rec-2298-org,rec-1953-dup-0,0,0.4,0.4,0.30000000000000004,1.0,1.0,0.30000000000000004,0.0,0.19999999999999996,0.7,0.16074915080930513
4,rec-4534-org,rec-1953-dup-2,0,0.0,0.4,0.6,1.0,1.0,0.0,0.0,0.5,0.7,0.1604922340653773
3912,rec-1953-org,rec-1953-dup-2,1,1.0,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.9,0.8065100425487901
6704,rec-180-org,rec-1953-dup-2,0,0.0,0.6,0.4,0.0,0.7,1.0,0.0,0.5,0.7,0.1311898780681567
15043,rec-473-org,rec-1953-dup-2,0,0.09999999999999998,0.0,0.6,0.0,0.7,1.0,0.0,0.19999999999999996,0.6,0.15492117854387302
15389,rec-6464-org,rec-1953-dup-2,0,0.0,0.6,0.4,0.0,1.0,1.0,0.0,0.6,0.6,0.14015792706025781
17594,rec-3856-org,rec-1953-dup-2,0,0.0,0.19999999999999996,0.5,0.19999999999999996,0.7,1.0,0.0,0.5,0.8,0.16974664692379812
25908,rec-2298-org,rec-1953-dup-2,0,0.4,0.4,0.4,1.0,1.0,0.30000000000000004,0.0,0.30000000000000004,0.7,0.15931446028262594
5,rec-4605-org,rec-3086-dup-0,0,0.09999999999999998,0.19999999999999996,0.5,0.0,1.0,0.8,0.0,0.5,0.7,0.16598146554720739
2025,rec-3086-org,rec-3086-dup-0,1,1.0,1.0,0.9,0.8,1.0,0.8,0.0,0.9,0.9,0.7497008301389155
5828,rec-5966-org,rec-3086-dup-0,0,0.19999999999999996,0.5,0.4,0.0,1.0,0.8,0.0,0.5,0.7,0.14960197160861036
6518,rec-9898-org,rec-3086-dup-0,0,0.09999999999999998,0.5,0.5,0.09999999999999998,1.0,0.8,0.0,0.6,0.6,0.155132012801305
8188,rec-5409-org,rec-3086-dup-0,0,0.30000000000000004,0.19999999999999996,0.7,0.0,0.7,0.8,0.0,0.5,0.7,0.1484604562233825
10302,rec-9772-org,rec-3086-dup-0,0,0.19999999999999996,0.6,0.5,0.0,0.7,0.8,0.0,0.19999999999999996,0.7,0.18580956715225327
11072,rec-1193-org,rec-3086-dup-0,0,0.09999999999999998,0.0,0.30000000000000004,0.0,0.7,0.8,0.0,0.19999999999999996,0.6,0.15154758780696462
11819,rec-2243-org,rec-3086-dup-0,0,0.5,0.4,0.7,0.0,0.7,0.8,0.0,0.4,0.6,0.1680190037147557
12774,rec-2020-org,rec-3086-dup-0,0,0.09999999999999998,0.7,0.5,0.0,0.7,0.8,0.0,0.5,0.7,0.15085671745897994
13902,rec-4055-org,rec-3086-dup-0,0,0.30000000000000004,0.5,0.19999999999999996,0.0,0.7,0.09999999999999998,0.0,0.5,0.7,0.12594135922751262
18528,rec-8658-org,rec-3086-dup-0,0,0.0,0.30000000000000004,0.19999999999999996,0.0,0.7,0.8,0.0,0.5,0.6,0.1737731756189476
22193,rec-7156-org,rec-3086-dup-0,0,0.19999999999999996,0.09999999999999998,0.6,0.0,0.7,0.8,0.0,0.19999999999999996,0.6,0.14740430438138702
22524,rec-9998-org,rec-3086-dup-0,0,0.19999999999999996,0.6,0.6,0.0,0.7,0.0,0.0,0.6,0.6,0.12409206992276678
24845,rec-571-org,rec-3086-dup-0,0,0.4,0.6,0.6,0.09999999999999998,1.0,0.8,0.0,0.7,0.7,0.18715579071339247
25314,rec-4456-org,rec-3086-dup-0,0,0.19999999999999996,0.5,0.30000000000000004,0.09999999999999998,0.7,0.8,0.0,0.5,0.7,0.16391791913234485
25655,rec-6569-org,rec-3086-dup-0,0,0.30000000000000004,0.5,0.6,0.8,1.0,0.09999999999999998,0.0,0.5,0.7,0.22819023038929254
6,rec-4605-org,rec-3086-dup-1,0,0.09999999999999998,0.19999999999999996,0.5,0.0,0.8,0.9,0.0,0.5,0.7,0.10574454985788684
2026,rec-3086-org,rec-3086-dup-1,1,1.0,0.9,0.9,0.9,0.8,0.9,0.0,1.0,0.9,0.6792529180423946
6520,rec-9898-org,rec-3086-dup-1,0,0.09999999999999998,0.5,0.5,0.0,0.8,0.9,0.0,0.6,0.6,0.10200450978172158
10304,rec-9772-org,rec-3086-dup-1,0,0.19999999999999996,0.5,0.5,0.0,0.7,0.9,0.0,0.19999999999999996,0.7,0.1319632260128265
11820,rec-2243-org,rec-3086-dup-1,0,0.5,0.4,0.6,0.0,0.7,0.9,0.0,0.4,0.6,0.11549049763033382
13903,rec-4055-org,rec-3086-dup-1,0,0.30000000000000004,0.4,0.09999999999999998,0.0,0.7,0.19999999999999996,0.0,0.6,0.7,0.11891057932484772
18532,rec-8658-org,rec-3086-dup-1,0,0.0,0.30000000000000004,0.19999999999999996,0.0,0.7,0.9,0.0,0.6,0.6,0.11426170054872549
22525,rec-9998-org,rec-3086-dup-1,0,0.19999999999999996,0.5,0.5,0.0,0.7,0.09999999999999998,0.0,0.7,0.6,0.10858490717123064
24846,rec-571-org,rec-3086-dup-1,0,0.4,0.5,0.5,0.0,0.8,0.9,0.0,0.8,0.7,0.12501629024334918
25316,rec-4456-org,rec-3086-dup-1,0,0.19999999999999996,0.4,0.30000000000000004,0.0,0.7,0.9,0.0,0.6,0.7,0.10974934333418164
25656,rec-6569-org,rec-3086-dup-1,0,0.30000000000000004,0.5,0.5,0.9,0.8,0.19999999999999996,0.0,0.6,0.7,0.15159660552031004
27268,rec-4765-org,rec-3086-dup-1,0,0.4,0.6,0.19999999999999996,0.30000000000000004,0.8,0.0,0.0,0.30000000000000004,0.6,0.11127359127009481
7,rec-4605-org,rec-9898-dup-0,0,0.09999999999999998,0.19999999999999996,0.5,0.4,0.9,0.8,0.0,0.6,0.8,0.10162638663832786
6517,rec-9898-org,rec-9898-dup-0,1,1.0,0.9,1.0,0.6,0.9,0.8,0.0,1.0,1.0,0.5438819347674768
18529,rec-8658-org,rec-9898-dup-0,0,0.0,0.4,0.19999999999999996,0.30000000000000004,0.7,0.8,0.0,0.6,0.7,0.13813712738789333
24847,rec-571-org,rec-9898-dup-0,0,0.09999999999999998,0.5,0.4,0.4,0.9,0.8,0.0,0.6,0.6,0.10392831129379689
8,rec-5411-org,rec-9008-dup-1,0,0.30000000000000004,0.0,0.5,0.0,0.7,1.0,0.0,0.7,0.6,0.21395671860215013
9246,rec-4473-org,rec-9008-dup-1,0,0.30000000000000004,0.0,0.5,0.0,0.7,1.0,0.0,0.09999999999999998,0.6,0.1980702358404454
13510,rec-7864-org,rec-9008-dup-1,0,0.19999999999999996,0.0,0.5,0.0,0.7,1.0,0.0,0.5,0.8,0.19077239763227008
13868,rec-2773-org,rec-9008-dup-1,0,0.09999999999999998,0.0,0.5,0.0,0.7,1.0,0.0,0.09999999999999998,0.7,0.19509352824782153
18275,rec-7505-org,rec-9008-dup-1,0,0.19999999999999996,0.0,0.5,0.0,0.7,1.0,0.0,0.5,0.7,0.20876802493462568
19810,rec-772-org,rec-9008-dup-1,0,0.0,0.0,0.4,0.0,0.7,1.0,0.0,0.09999999999999998,0.6,0.23588007971992644
22951,rec-9008-org,rec-9008-dup-1,1,1.0,0.8,1.0,0.7,0.9,1.0,0.0,0.9,1.0,0.790547796514777
24214,rec-287-org,rec-9008-dup-1,0,0.19999999999999996,0.0,0.4,0.0,0.7,1.0,0.0,0.6,0.7,0.2097974948017719
28801,rec-849-org,rec-9008-dup-1,0,0.19999999999999996,0.0,0.6,0.0,0.9,1.0,0.0,0.5,0.7,0.16394584176353247
29030,rec-8747-org,rec-9008-dup-1,0,0.19999999999999996,0.0,0.4,0.09999999999999998,0.9,1.0,0.0,0.4,0.8,0.19647688284078133
9,rec-5411-org,rec-9008-dup-2,0,0.30000000000000004,0.0,0.4,0.19999999999999996,0.7,0.9,0.0,0.8,0.6,0.21281092283636704
2951,rec-352-org,rec-9008-dup-2,0,0.19999999999999996,0.09999999999999998,0.5,1.0,0.8,0.0,0.0,0.6,0.7,0.13148175736935366
9247,rec-4473-org,rec-9008-dup-2,0,0.30000000000000004,0.0,0.4,0.0,0.7,0.9,0.0,0.19999999999999996,0.6,0.19700951646207593
13511,rec-7864-org,rec-9008-dup-2,0,0.19999999999999996,0.0,0.4,0.19999999999999996,0.7,0.9,0.0,0.6,0.8,0.18975076014005465
13869,rec-2773-org,rec-9008-dup-2,0,0.09999999999999998,0.0,0.5,0.0,0.7,0.9,0.0,0.19999999999999996,0.7,0.1940487499391128
18276,rec-7505-org,rec-9008-dup-2,0,0.19999999999999996,0.0,0.4,0.0,0.7,0.9,0.0,0.6,0.7,0.20765001601878602
19811,rec-772-org,rec-9008-dup-2,0,0.0,0.0,0.30000000000000004,0.19999999999999996,0.7,0.9,0.0,0.19999999999999996,0.6,0.23461687845968354
22950,rec-9008-org,rec-9008-dup-2,1,1.0,1.0,0.9,1.0,0.8,0.9,0.0,1.0,1.0,0.9109832311424233
24215,rec-287-org,rec-9008-dup-2,0,0.19999999999999996,0.0,0.30000000000000004,0.09999999999999998,0.7,0.9,0.0,0.7,0.7,0.2086739727979466
28802,rec-849-org,rec-9008-dup-2,0,0.19999999999999996,0.0,0.5,0.0,0.8,0.9,0.0,0.6,0.7,0.16306786769224518
29031,rec-8747-org,rec-9008-dup-2,0,0.19999999999999996,0.0,0.30000000000000004,0.30000000000000004,0.8,0.9,0.0,0.5,0.8,0.19542469629621273
10,rec-5411-org,rec-772-dup-0,0,0.0,0.30000000000000004,0.7,0.30000000000000004,1.0,0.8,0.0,0.19999999999999996,0.7,0.1696641776237305
9248,rec-4473-org,rec-772-dup-0,0,0.09999999999999998,0.4,0.4,0.0,1.0,0.8,0.0,1.0,0.8,0.19684134505298315
13512,rec-7864-org,rec-772-dup-0,0,0.09999999999999998,0.30000000000000004,0.6,0.19999999999999996,0.7,0.8,0.0,0.19999999999999996,0.6,0.15895242097083775
13870,rec-2773-org,rec-772-dup-0,0,0.09999999999999998,0.30000000000000004,0.4,0.19999999999999996,1.0,0.8,0.0,1.0,0.6,0.1625528064626482
18277,rec-7505-org,rec-772-dup-0,0,0.0,0.4,0.5,0.09999999999999998,0.7,0.8,0.0,0.19999999999999996,0.7,0.1655496284298864
19808,rec-772-org,rec-772-dup-0,1,1.0,0.9,0.6,1.0,1.0,0.8,0.0,1.0,1.0,0.5672319107967907
22953,rec-9008-org,rec-772-dup-0,0,0.0,0.0,0.5,0.19999999999999996,0.7,0.8,0.0,0.19999999999999996,0.6,0.15004140332094304
24216,rec-287-org,rec-772-dup-0,0,0.0,0.30000000000000004,0.6,0.30000000000000004,0.8,0.8,0.0,0.19999999999999996,0.6,0.1748042176239727
28803,rec-849-org,rec-772-dup-0,0,0.0,0.4,0.4,0.0,0.7,0.8,0.0,0.19999999999999996,0.6,0.14947622497035667
29032,rec-8747-org,rec-772-dup-0,0,0.0,0.4,0.7,0.19999999999999996,0.7,0.8,0.0,0.19999999999999996,0.6,0.1637054237403108
